area	total	phd	postgrad	polyt	uni	insti	g-high	p-high	mid	elem	presch
Country total	9103187	41312	155532	1076933	444910	502079	2183480	348916	1174591	2524345	651089
Eastern Macedonia and Thrace	485606	1071	3832	42921	21138	20634	91242	23741	57562	185021	38444
Central Macedonia	1579279	7677	22856	183440	79180	84986	353163	73682	204347	451471	118477
Western Macedonia	230468	343	1588	20270	12186	9978	42946	13714	29594	82189	17660
Hepirus	274683	1085	2315	29783	12944	10569	58557	9374	34117	97158	18781
Thessaly	594320	1375	4889	63571	30378	25888	125816	22032	77053	198559	44759
Middle Greece	447756	621	2801	38740	18963	18686	97727	19740	65136	152868	32474
Ionian Islands	173147	295	1327	15271	6373	8940	37586	5444	25987	59683	12241
Western Greece	560738	1728	4146	49227	23794	18147	135326	20109	77651	187851	42759
Peloponnese	483458	713	3118	41772	18520	18817	108997	17353	76260	164026	33882
Attica	3323293	23729	99048	503953	177522	238129	923690	104798	389626	646441	216357
Northern Aegean	167410	354	1692	15268	7468	7859	35780	7405	22018	57754	11812
Southern Aegean	258446	373	2298	21601	9699	14786	54818	12700	40178	81220	20773
Crete	524583	1948	5622	51116	26745	24660	117832	18824	75062	160104	42670
